"Pecahan Bilangan Pindah Milik Harta Kediaman Mengikut Jenis dan Daerah Bagi Tahun 2017","","","","","","",""
"","","","","","","",""
"PRO_TYPE","QUARTER","Daerah Timur Laut","Daerah Barat Daya","Daerah Utara","Daerah Tengah","Daerah Selatan","Total "
"Vacant Plot","Q1 2017","8","1","11","17","15","52"
"Vacant Plot","Q2 2017","16","3","9","12","20","60"
"Vacant Plot","Q3 2017","23","2","11","16","16","68"
"Vacant Plot","Q4 2017","12","38","19","11","13","93"
"1 - 1 1/2 Storey Terraced","Q1 2017","14","16","120","105","91","346"
"1 - 1 1/2 Storey Terraced","Q2 2017","20","16","78","103","112","329"
"1 - 1 1/2 Storey Terraced","Q3 2017","31","19","60","81","113","304"
"1 - 1 1/2 Storey Terraced","Q4 2017","24","19","57","89","121","310"
"2 - 2 1/2 Storey Terraced","Q1 2017","64","73","114","155","134","540"
"2 - 2 1/2 Storey Terraced","Q2 2017","65","66","90","175","100","496"
"2 - 2 1/2 Storey Terraced","Q3 2017","84","72","136","188","111","591"
"2 - 2 1/2 Storey Terraced","Q4 2017","69","50","125","161","204","609"
"1 - 1 1/2 Storey Semi-Detached","Q1 2017","12","1","4","21","28","66"
"1 - 1 1/2 Storey Semi-Detached","Q2 2017","13","6","5","27","38","89"
"1 - 1 1/2 Storey Semi-Detached","Q3 2017","19","3","8","33","32","95"
"1 - 1 1/2 Storey Semi-Detached","Q4 2017","14","6","15","24","28","87"
"2 - 2 1/2 Storey Semi-Detached","Q1 2017","29","16","18","65","31","159"
"2 - 2 1/2 Storey Semi-Detached","Q2 2017","30","15","20","69","104","238"
"2 - 2 1/2 Storey Semi-Detached","Q3 2017","26","19","19","54","120","238"
"2 - 2 1/2 Storey Semi-Detached","Q4 2017","31","20","22","59","64","196"
"Detached","Q1 2017","22","9","10","34","14","89"
"Detached","Q2 2017","27","18","14","33","16","108"
"Detached","Q3 2017","19","11","11","38","22","101"
"Detached","Q4 2017","46","14","15","36","24","135"
"Condominium/Apartment","Q1 2017","204","132","76","55","0","467"
"Condominium/Apartment","Q2 2017","205","116","66","57","0","444"
"Condominium/Apartment","Q3 2017","251","155","74","78","0","558"
"Condominium/Apartment","Q4 2017","275","148","91","111","0","625"
"Cluster House","Q1 2017","5","11","29","12","2","59"
"Cluster House","Q2 2017","6","12","9","8","5","40"
"Cluster House","Q3 2017","4","7","8","16","21","56"
"Cluster House","Q4 2017","2","12","13","22","4","53"
"Town House","Q1 2017","4","5","2","1","5","17"
"Town House","Q2 2017","1","3","2","5","3","14"
"Town House","Q3 2017","3","3","14","0","6","26"
"Town House","Q4 2017","3","1","13","2","5","24"
"Flat","Q1 2017","320","70","42","30","0","462"
"Flat","Q2 2017","311","74","18","50","0","453"
"Flat","Q3 2017","422","61","18","29","0","530"
"Flat","Q4 2017","407","85","25","26","1","544"
"Low-Cost House","Q1 2017","3","5","20","26","31","85"
"Low-Cost House","Q2 2017","2","8","23","32","32","97"
"Low-Cost House","Q3 2017","3","2","23","31","31","90"
"Low-Cost House","Q4 2017","4","1","30","34","33","102"
"Low-Cost Flat","Q1 2017","192","85","36","210","20","543"
"Low-Cost Flat","Q2 2017","208","61","29","126","19","443"
"Low-Cost Flat","Q3 2017","238","73","19","127","16","473"
"Low-Cost Flat","Q4 2017","243","70","37","114","21","485"
"Others","Q1 2017","0","0","0","0","0","0"
"Others","Q2 2017","0","0","0","0","0","0"
"Others","Q3 2017","0","0","0","0","1","1"
"Others","Q4 2017","0","0","0","0","0","0"
"Total","Q1 2017","863","348","265","517","247","2,240"
"Total","Q2 2017","904","398","363","697","449","2,811"
"Total","Q3 2017","1,123","427","401","691","489","3,131"
"Total","Q4 2017","1,713","690","525","1,007","456","4,391"
