year,quarter_label,state,average_price_rm,property_type,source_file,quarter
2009,Q1,Johor,154985.05714542852,All houses,all_houses_by_state.xlsx,1
2009,Q1,Johor,188329.13,Detached house,detached_by_state.xlsx,1
2009,Q1,Johor,382139.28,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Johor,140992.08,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Kedah,119524.29,All houses,all_houses_by_state.xlsx,1
2009,Q1,Kedah,226580.73,Detached house,detached_by_state.xlsx,1
2009,Q1,Kedah,163459.5,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Kedah,94774.28,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Kelantan,97681.46496889161,All houses,all_houses_by_state.xlsx,1
2009,Q1,Kelantan,80005.01008823636,Detached house,detached_by_state.xlsx,1
2009,Q1,Kelantan,180919.12,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Kelantan,98464.05,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Kuala Lumpur,352530.88,All houses,all_houses_by_state.xlsx,1
2009,Q1,Kuala Lumpur,1924863.2,Detached house,detached_by_state.xlsx,1
2009,Q1,Kuala Lumpur,1243791.22,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Kuala Lumpur,349857.12,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Melaka,103437.16,All houses,all_houses_by_state.xlsx,1
2009,Q1,Melaka,189086.05,Detached house,detached_by_state.xlsx,1
2009,Q1,Melaka,234283.04,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Melaka,86222.18,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Negeri Sembilan,129767.79,All houses,all_houses_by_state.xlsx,1
2009,Q1,Negeri Sembilan,248336.0,Detached house,detached_by_state.xlsx,1
2009,Q1,Negeri Sembilan,213459.78,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Negeri Sembilan,104923.84,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Pahang,131401.59,All houses,all_houses_by_state.xlsx,1
2009,Q1,Pahang,127417.45,Detached house,detached_by_state.xlsx,1
2009,Q1,Pahang,205488.43,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Pahang,122338.19,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Penang,207958.67,All houses,all_houses_by_state.xlsx,1
2009,Q1,Penang,376943.87117713987,Detached house,detached_by_state.xlsx,1
2009,Q1,Penang,319503.97,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Penang,244081.78,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Perak,111258.61181259959,All houses,all_houses_by_state.xlsx,1
2009,Q1,Perak,106594.09,Detached house,detached_by_state.xlsx,1
2009,Q1,Perak,185734.46,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Perak,101045.96,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Perlis,96533.82,All houses,all_houses_by_state.xlsx,1
2009,Q1,Perlis,186366.95,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Perlis,76963.03,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Sabah,219709.42,All houses,all_houses_by_state.xlsx,1
2009,Q1,Sabah,368653.7,Detached house,detached_by_state.xlsx,1
2009,Q1,Sabah,355874.83,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Sabah,219752.08,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Sarawak,243246.3,All houses,all_houses_by_state.xlsx,1
2009,Q1,Sarawak,309987.07,Detached house,detached_by_state.xlsx,1
2009,Q1,Sarawak,295410.21,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Sarawak,195589.67583244963,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Selangor,217922.23,All houses,all_houses_by_state.xlsx,1
2009,Q1,Selangor,447278.03,Detached house,detached_by_state.xlsx,1
2009,Q1,Selangor,584633.33,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Selangor,212860.03,Terraced house,terraced_by_state.xlsx,1
2009,Q1,Terengganu,145231.6674300496,All houses,all_houses_by_state.xlsx,1
2009,Q1,Terengganu,169783.91,Detached house,detached_by_state.xlsx,1
2009,Q1,Terengganu,177040.44,Semi-detached house,semi_detached_by_state.xlsx,1
2009,Q1,Terengganu,98141.27,Terraced house,terraced_by_state.xlsx,1
2009,Q2,Johor,166283.99,All houses,all_houses_by_state.xlsx,2
2009,Q2,Johor,195688.06,Detached house,detached_by_state.xlsx,2
2009,Q2,Johor,392654.04,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Johor,143912.38,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Kedah,122053.67,All houses,all_houses_by_state.xlsx,2
2009,Q2,Kedah,229993.26,Detached house,detached_by_state.xlsx,2
2009,Q2,Kedah,167076.92,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Kedah,96829.41,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Kelantan,102937.43,All houses,all_houses_by_state.xlsx,2
2009,Q2,Kelantan,81358.16,Detached house,detached_by_state.xlsx,2
2009,Q2,Kelantan,178053.45284054911,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Kelantan,108735.8,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Kuala Lumpur,360813.26,All houses,all_houses_by_state.xlsx,2
2009,Q2,Kuala Lumpur,2044261.58,Detached house,detached_by_state.xlsx,2
2009,Q2,Kuala Lumpur,1279835.06,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Kuala Lumpur,349087.38,Terraced house,terraced_by_state.xlsx,2
2009,Q2,Melaka,103902.05,All houses,all_houses_by_state.xlsx,2
2009,Q2,Melaka,191472.04,Detached house,detached_by_state.xlsx,2
2009,Q2,Melaka,236876.78,Semi-detached house,semi_detached_by_state.xlsx,2
2009,Q2,Melaka,86500.22,Terraced house,terraced_by_state.xlsx,2
