source_row,state_raw,state,district_raw,district,district_notes,property_type_raw,property_type,year,quarter,period_start,period_end,transaction_count,transaction_value_rm,average_price_rm,price_type,volume_support,source_name,source_url,source_document,source_page_or_table,collected_at,dataset_version,schema_version,validation_errors,validation_warnings,quarter_change_percent,validation_status,model_eligible,public_prediction_supported,model_exclusion_reason,public_prediction_exclusion_reason
2,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,1 - 1 1/2 Storey Semi-Detached,one_to_one_half_storey_semi_detached,2017,1,2017-01-01,2017-03-31,1,730000.0,730000.0,completed_transaction_average,very_low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",,valid_with_warnings,True,False,,low_transaction_volume
3,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,1 - 1 1/2 Storey Semi-Detached,one_to_one_half_storey_semi_detached,2017,2,2017-04-01,2017-06-30,6,3128000.0,521333.3333333333,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",28.584474885844752,valid_with_warnings,True,False,,low_transaction_volume
4,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,1 - 1 1/2 Storey Semi-Detached,one_to_one_half_storey_semi_detached,2017,3,2017-07-01,2017-09-30,3,2140000.0,713333.3333333334,completed_transaction_average,very_low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",36.82864450127879,valid_with_warnings,True,False,,low_transaction_volume
5,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,1 - 1 1/2 Storey Semi-Detached,one_to_one_half_storey_semi_detached,2017,4,2017-10-01,2017-12-31,6,3825000.0,637500.0,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",10.630841121495333,valid_with_warnings,True,False,,low_transaction_volume
6,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,1 - 1 1/2 Storey Terraced,one_to_one_half_storey_terraced,2017,1,2017-01-01,2017-03-31,16,7622000.0,476375.0,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",,valid_with_warnings,True,False,,low_transaction_volume
7,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,1 - 1 1/2 Storey Terraced,one_to_one_half_storey_terraced,2017,2,2017-04-01,2017-06-30,16,8138000.0,508625.0,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",6.7698766727892945,valid_with_warnings,True,False,,low_transaction_volume
8,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,1 - 1 1/2 Storey Terraced,one_to_one_half_storey_terraced,2017,3,2017-07-01,2017-09-30,19,9946888.0,523520.4210526316,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",2.9285664394458735,valid_with_warnings,True,False,,low_transaction_volume
9,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,1 - 1 1/2 Storey Terraced,one_to_one_half_storey_terraced,2017,4,2017-10-01,2017-12-31,19,9269500.0,487868.4210526316,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",6.810049535090775,valid_with_warnings,True,False,,low_transaction_volume
10,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,2 - 2 1/2 Storey Semi-Detached,two_to_two_half_storey_semi_detached,2017,1,2017-01-01,2017-03-31,16,23224580.0,1451536.25,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",,valid_with_warnings,True,False,,low_transaction_volume
11,Penang,Penang,Barat Daya (southwest island / Teluk Bahang),Barat Daya,southwest island / Teluk Bahang,2 - 2 1/2 Storey Semi-Detached,two_to_two_half_storey_semi_detached,2017,2,2017-04-01,2017-06-30,15,21174000.0,1411600.0,completed_transaction_average,low_volume,Penang State Government residential transaction tables,https://archive.data.gov.my/data/en_US/dataset/pecahan-bilangan-pindah-milik-harta-kediaman-mengikut-jenis-dan-daerah-di-pulau-pinang,"Penang residential transaction counts and values by property type and district, 2017",Quarter/property-type/district tables,2026-07-13,penang-completed-transaction-aggregates-2017-v2,aggregate-1.0.0,[],"[""LOW_TRANSACTION_VOLUME""]",2.75130917329829,valid_with_warnings,True,False,,low_transaction_volume
