state,district,property_type,year,quarter,transaction_count,transaction_value_rm,average_price_rm,price_type
Penang,Barat Daya (southwest island / Teluk Bahang),1 - 1 1/2 Storey Semi-Detached,2017,1,1,730000.0,730000.0,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),1 - 1 1/2 Storey Semi-Detached,2017,2,6,3128000.0,521333.3333333333,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),1 - 1 1/2 Storey Semi-Detached,2017,3,3,2140000.0,713333.3333333334,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),1 - 1 1/2 Storey Semi-Detached,2017,4,6,3825000.0,637500.0,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),1 - 1 1/2 Storey Terraced,2017,1,16,7622000.0,476375.0,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),1 - 1 1/2 Storey Terraced,2017,2,16,8138000.0,508625.0,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),1 - 1 1/2 Storey Terraced,2017,3,19,9946888.0,523520.4210526316,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),1 - 1 1/2 Storey Terraced,2017,4,19,9269500.0,487868.4210526316,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),2 - 2 1/2 Storey Semi-Detached,2017,1,16,23224580.0,1451536.25,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),2 - 2 1/2 Storey Semi-Detached,2017,2,15,21174000.0,1411600.0,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),2 - 2 1/2 Storey Semi-Detached,2017,3,19,25018600.0,1316768.4210526317,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),2 - 2 1/2 Storey Semi-Detached,2017,4,20,27465880.0,1373294.0,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),2 - 2 1/2 Storey Terraced,2017,1,73,60630460.0,830554.2465753425,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),2 - 2 1/2 Storey Terraced,2017,2,66,59355946.0,899332.5151515151,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),2 - 2 1/2 Storey Terraced,2017,3,72,59383224.0,824767.0,completed_transaction_average
Penang,Barat Daya (southwest island / Teluk Bahang),2 - 2 1/2 Storey Terraced,2017,4,50,41325800.0,826516.0,completed_transaction_average
