state,area,period_label,average_price_rm,year,quarter,property_type,price_type
Johor,Batu Pahat,2016_Q1,229934.63,2016,1,Terraced house,published_average
Johor,Johor Bahru,2016_Q1,244377.23589888704,2016,1,Terraced house,published_average
Johor,Kluang,2016_Q1,180788.43,2016,1,Terraced house,published_average
Johor,Kota Tinggi/Pontian,2016_Q1,175059.58,2016,1,Terraced house,published_average
Johor,Kulai Jaya,2016_Q1,235873.09,2016,1,Terraced house,published_average
Johor,Muar,2016_Q1,254692.22,2016,1,Terraced house,published_average
Johor,Segamat,2016_Q1,170586.53869249395,2016,1,Terraced house,published_average
Johor,State average,,240545.95,2016,1,High-rise unit,published_average
Kedah,Kota Setar,2016_Q1,184183.01,2016,1,Terraced house,published_average
Kedah,Kuala Muda,2016_Q1,113052.63,2016,1,Terraced house,published_average
Kedah,Kubang Pasu,2016_Q1,138061.86,2016,1,Terraced house,published_average
Kedah,Kulim,2016_Q1,145196.97,2016,1,Terraced house,published_average
Kelantan,Kota Bharu,2016_Q1,163962.99,2016,1,Terraced house,published_average
Kuala Lumpur,KL Central,,532632.01,2016,1,High-rise unit,published_average
Kuala Lumpur,KL Central,2016_Q1,973246.94,2016,1,Terraced house,published_average
Kuala Lumpur,KL North,,500758.41,2016,1,High-rise unit,published_average
Kuala Lumpur,KL North,2016_Q1,619024.81,2016,1,Terraced house,published_average
Kuala Lumpur,KL South,,307211.95,2016,1,High-rise unit,published_average
Kuala Lumpur,KL South,2016_Q1,592860.74,2016,1,Terraced house,published_average
Kuala Lumpur,State average,,478905.06,2016,1,High-rise unit,published_average
Melaka,Alor Gajah-Jasin,2016_Q1,113502.17,2016,1,Terraced house,published_average
Melaka,Melaka Tengah,2016_Q1,182086.18,2016,1,Terraced house,published_average
Melaka,State average,,109691.68,2016,1,High-rise unit,published_average
Negeri Sembilan,Port Dickson,2016_Q1,141569.13,2016,1,Terraced house,published_average
Negeri Sembilan,Seremban,2016_Q1,203490.79,2016,1,Terraced house,published_average
Negeri Sembilan,State average,,95469.43,2016,1,High-rise unit,published_average
Negeri Sembilan,Tampin & Others,2016_Q1,132089.57,2016,1,Terraced house,published_average
Pahang,Bentong,2016_Q1,211921.89,2016,1,Terraced house,published_average
Pahang,Jerantut-Lipis-Raub,2016_Q1,150953.66,2016,1,Terraced house,published_average
Pahang,Kuantan,2016_Q1,239578.76,2016,1,Terraced house,published_average
Pahang,Temerloh,2016_Q1,151746.1,2016,1,Terraced house,published_average
Penang,Pulau Pinang (Island),,368743.6,2016,1,High-rise unit,published_average
Penang,Pulau Pinang (Island),2016_Q1,885665.6,2016,1,Terraced house,published_average
Penang,Seberang Perai,,120565.58,2016,1,High-rise unit,published_average
Penang,Seberang Perai,2016_Q1,275306.88,2016,1,Terraced house,published_average
Penang,State average,,339858.27,2016,1,High-rise unit,published_average
Perak,Batang Padang,2016_Q1,123152.63,2016,1,Terraced house,published_average
Perak,Hilir Perak,2016_Q1,149239.98,2016,1,Terraced house,published_average
Perak,Kinta/Ipoh,2016_Q1,166162.78,2016,1,Terraced house,published_average
